"";"NOM_PROPOSICAO_SF";"NOM_PROPOSICAO_CD";"EMENTA"
"28";"PLC 72/1996";"PL 3074/1992";"ALTERA DISPOSITIVO DO CODIGO DE PROCESSO PENAL, DISPONDO SOBRE O      
LOCAL EM QUE OS REUS DEVERÃO ESTAR SENTADOS DURANTE AS AUDIENCIAS E   
SESSÕES.                                                              
"
"29";"PLS 289/2011";"PL 4702/2012";"DISPÕE SOBRE O EXERCÍCIO DA PROFISSÃO DE CUIDADOR DE IDOSO."
"30";"PLS 308/2011";"PL 3522/2012";"ALTERA A LEI Nº 9.503, DE 23 DE SETEMBRO DE 1997, QUE INSTITUI O CÓDIGO DE TRÂNSITO BRASILEIRO, PARA DISPOR SOBRE A OBRIGATORIEDADE DO USO DE FARÓIS DURANTE O DIA NAS CONDIÇÕES QUE ESPECIFICA."
"31";"PLS 307/2011";"PL 2739/2011";"ALTERA O INCISO IX, DO ART. 10, DA LEI Nº 6.965, DE 09 DE DEZEMBRO DE 1981, E DÁ OUTRAS PROVIDÊNCIAS."
"32";"PLC 74/1993";"PL 3112/1989";"ACRESCENTA PARAGRAFO AO ART. 626 DA CONSOLIDAÇÃO DAS LEIS DO          
TRABALHO.                                                             
"
"33";"PLS 317/2011";"PL 3076/2011";"ALTERA A LEI Nº 8.080, DE 19 DE SETEMBRO DE 1990 (LEI ORGÂNICA DA SAÚDE), PARA ASSEGURAR O DIREITO À CIRURGIA PLÁSTICA REPARADORA NO ÂMBITO DO SISTEMA ÚNICO DE SAÚDE."
"34";"PLS 318/2011";"PL 5073/2016";"DISPÕE SOBRE A DESTINAÇÃO DOS RECURSOS DE PREMIAÇÃO DAS LOTERIAS FEDERAIS ADMINISTRADAS PELA CAIXA ECONÔMICA FEDERAL NÃO PROCURADOS PELOS CONTEMPLADOS DENTRO DO PRAZO DE PRESCRIÇÃO E ALTERA A LEI Nº 10.260 DE 12 DE JULHO DE 2001, QUE DISPÕE SOBRE O FUNDO DE FINANCIAMENTO AO ESTUDANTE DO ENSINO SUPERIOR - FIES.
"
"35";"PLC 75/1995";"PL 3129/1992";"DISCIPLINA OS ANUNCIOS DE OFERTA DE EMPREGO.                          
"
"36";"PLS 328/2011";"PL 3696/2012";"ALTERA A LEI Nº 8.989, DE 24 DE FEVEREIRO DE 1995, PARA LIMITAR A EXIGÊNCIA DE LAUDOS DE AVALIAÇÃO PARA PORTADORES DE DEFICIÊNCIA ADQUIRENTES DE AUTOMÓVEIS COM ISENÇÃO DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS."
"37";"PLS 330/2011";"PL 2042/2011";"CONCEDE ANISTIA A BOMBEIROS MILITARES DO ESTADO DO RIO DE JANEIRO, PUNIDOS POR PARTICIPAR DE MOVIMENTOS REIVINDICATÓRIOS."
"38";"PLC 76/1996";"PL 145/1995";"REVOGA O ART. 318 DA CONSOLIDAÇÃO DAS LEIS DO TRABALHO.               
"
"39";"PEC 56/2011";"PEC 291/2013";"ALTERA A REDAÇÃO DO ART. 93 DA CONSTITUIÇÃO FEDERAL PARA EXCLUIR A PENA DE APOSENTADORIA DO MAGISTRADO, POR INTERESSE PÚBLICO."
"40";"PLS 336/2011";"PL 8254/2014";"CONCEDE PENSÃO ESPECIAL AOS EX-INTEGRANTES DO ""BATALHÃO SUEZ""."
"41";"PLS 334/2011";"PL 6459/2013";"DISPÕE SOBRE A PARCERIA DE PRODUÇÃO INTEGRADA AGROPECUÁRIA, ESTABELECE CONDIÇÕES, OBRIGAÇÕES E RESPONSABILIDADES NAS RELAÇÕES CONTRATUAIS ENTRE PRODUTORES INTEGRADOS E AGROINDÚSTRIAS INTEGRADORAS, E DÁ OUTRAS PROVIDÊNCIAS."
